code,description
900,violation of court order
740,"vandalism - felony ($400 & over, all church vandalisms)"
946,other miscellaneous crime
122,"rape, attempted"
442,shoplifting - petty theft ($950 & under)
330,burglary from vehicle
230,"assault with deadly weapon, aggravated assault"
341,"theft-grand ($950.01 & over)excpt,guns,fowl,livestk,prod"
624,battery - simple assault
210,robbery
755,bomb scare
237,child neglect (see 300 w.i.c.)
236,intimate partner - aggravated assault
626,intimate partner - simple assault
440,theft plain - petty ($950 & under)
930,criminal threats - no weapon displayed
220,attempted robbery
745,vandalism - misdeameanor ($399 or under)
310,burglary
648,arson
121,"rape, forcible"
761,brandish weapon
647,throwing object at moving vehicle
343,shoplifting-grand theft ($950.01 & over)
627,child abuse (physical) - simple assault
251,shots fired at inhabited dwelling
510,vehicle - stolen
920,kidnapping - grand attempt
110,criminal homicide
441,theft plain - attempt
350,"theft, person"
888,trespassing
910,kidnapping
520,vehicle - attempt stolen
860,battery with sexual contact
649,document forgery / stolen felony
623,battery police (simple)
235,child abuse (physical) - aggravated assault
886,disturbing the peace
625,other assault
901,violation of restraining order
762,lewd conduct
812,crm agnst chld (13 or under) (14-15 & susp 10 yrs older)
354,theft of identity
231,assault with deadly weapon on police officer
813,child annoying (17yrs & under)
821,sodomy/sexual contact b/w penis of one pers to anus oth
820,oral copulation
943,cruelty to animals
420,theft from motor vehicle - petty ($950 & under)
956,"letters, lewd  -  telephone calls, lewd"
932,peeping tom
850,indecent exposure
480,bike - stolen
410,"burglary from vehicle, attempted"
320,"burglary, attempted"
763,stalking
928,threatening phone calls/letters
810,"sex,unlawful(inc mutual consent, penetration w/ frgn obj"
664,"bunco, petty theft"
662,"bunco, grand theft"
902,violation of temporary restraining order
668,"embezzlement, grand theft ($950.01 & over)"
815,sexual penetration w/foreign object
940,extortion
352,pickpocket
670,"embezzlement, petty theft ($950 & under)"
351,purse snatching
756,weapons possession/bombing
660,counterfeit
434,false imprisonment
653,"credit cards, fraud use ($950.01 & over)"
753,discharge firearms/shots fired
450,theft from person - attempt
661,unauthorized computer access
806,pandering
805,pimping
453,drunk roll - attempt
443,shoplifting - attempt
437,resisting arrest
345,dishonest employee - grand theft
438,reckless driving
933,prowler
654,"credit cards, fraud use ($950 & under"
651,document worthless ($200.01 & over)
922,child stealing
903,contempt of court
944,conspiracy
421,theft from motor vehicle - attempt
353,drunk roll
622,battery on a firefighter
949,illegal dumping
435,lynching
474,"theft, coin machine - petty ($950 & under)"
347,grand theft / insurance fraud
666,"bunco, attempt"
880,disrupt school
473,"theft, coin machine - grand ($950.01 & over)"
439,false police report
451,purse snatching - attempt
487,boat - stolen
250,"shots fired at moving vehicle, train or aircraft"
433,driving without owner consent (dwoc)
954,contributing
890,failure to yield
472,till tap - attempt
865,"drugs, to a minor"
882,inciting a riot
840,"beastiality, crime against nature sexual asslt with anim"
942,bribery
331,theft from motor vehicle - grand ($950.01 and over)
951,"defrauding innkeeper/theft of services, $950 & under"
950,"defrauding innkeeper/theft of services, over $950.01"
436,lynching - attempted
845,sex offender registrant out of compliance
444,dishonest employee - petty theft
870,child abandonment
924,telephone property - damage
471,till tap - petty ($950 & under)
652,document worthless ($200 & under)
948,bigamy
470,till tap - grand theft ($950.01 & over)
475,"theft, coin machine - attempt"
446,petty theft - auto repair
760,lewd/lascivious acts with child
452,"pickpocket, attempt"
822,human trafficking - commercial sex acts
113,"manslaughter, negligent"
349,grand theft / auto repair
485,bike - attempted stolen
884,failure to disperse
931,"replica firearms(sale,display,manufacture or distribute)"
921,human trafficking - involuntary servitude
814,child pornography
952,abortion/illegal
830,incest (sexual acts between blood relatives)
445,dishonest employee attempted theft
926,train wrecking
432,blocking door induction center
906,firearms restraining order (firearms ro)
905,firearms temporary restraining order (temp firearms ro)
522,"vehicle, stolen - other (motorized scooters, bikes, etc)"
904,firearms emergency protective order (firearms epo)
